 "Material" , "Resin" , "ReinforcementFiber" , "ZeroDegreeDirectionFiber_pct" , "FortyFiveDegreeDirectionFiber_pct" , "NinetyDegreeDirectionFiber_pct" , "OtherDegreeDirectionFiber_pct" , "GaugeSectionWidth_mm" , "GaugeSectionThickness_mm" , "MaximumStrain_pct" , "LoadCycle_time" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.57" , "17683.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.81" , "23753.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.81" , "25183.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.06" , "2986.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.91" , "3572.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.94" , "4447.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.39" , "493.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.26" , "626.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "1.23" , "812.00" ,
 "Triax-AA3-UP2" , "CoRezyn 63-AX-051" , "Knytex CDB200 (759 gsm)" , "48.0" , "52.0" , "0.0" , "0.0" , "25.0" , "3.45" , "0.44" , "900000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.30" , "10000000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.76" , "11417.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.95" , "15703.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.59" , "15930.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.73" , "16137.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "1.04" , "1668.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.41" , "1824012.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.05" , "19996.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.43" , "20500167.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.55" , "21713.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "1.20" , "2921.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.06" , "30000000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.09" , "3918.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.04" , "4385009.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.68" , "45360.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.08" , "4578.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "-0.06" , "6000000.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.60" , "69425.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "1.53" , "742.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.83" , "79610.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.57" , "8222998.00" ,
 "Triax-H" , "CoRezyn 63-AX-050" , "Hexcel XH120" , "48.0" , "70.0" , "30.0" , "0.0" , "25.0" , "6.58" , "0.86" , "96327.00" ,
